"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CURD test with steps","This will create a new category","SUCCESS","2022-06-07T21:55:51.324+01:00[Europe/London]","0.0","5.14"
"Categories CURD test with steps","Verify if the category was created","SUCCESS","2022-06-07T21:55:56.495+01:00[Europe/London]","0.0","0.96"
"Categories CURD test with steps","Update the category information and verify the updated information","SUCCESS","2022-06-07T21:55:57.455+01:00[Europe/London]","0.0","0.23"
"Categories CURD test with steps","Delete the category and verify if the category is deleted!","SUCCESS","2022-06-07T21:55:57.686+01:00[Europe/London]","0.0","0.8"
"Products CURD test with steps","This will create a new Product","SUCCESS","2022-06-07T21:56:00.444+01:00[Europe/London]","0.0","0.2"
"Products CURD test with steps","Verify if the product was added to the application","SUCCESS","2022-06-07T21:56:00.643+01:00[Europe/London]","0.0","2.27"
"Products CURD test with steps","Update the product information and verify the updated information","SUCCESS","2022-06-07T21:56:02.915+01:00[Europe/London]","0.0","0.72"
"Products CURD test with steps","Delete the product and verify if the product is deleted!","SUCCESS","2022-06-07T21:56:03.640+01:00[Europe/London]","0.0","0.06"
"Services CUR dtest with steps","This will create a new service","SUCCESS","2022-06-07T21:56:03.790+01:00[Europe/London]","0.0","0.08"
"Services CUR dtest with steps","Verify if the service was added","SUCCESS","2022-06-07T21:56:03.875+01:00[Europe/London]","0.0","0.12"
"Services CUR dtest with steps","Update the service information and verify the updated information","SUCCESS","2022-06-07T21:56:03.996+01:00[Europe/London]","0.0","0.34"
"Services CUR dtest with steps","Delete the service and verify if the service is deleted!","SUCCESS","2022-06-07T21:56:04.334+01:00[Europe/London]","0.0","0.3"
"Stores CUR dtest with steps","This will create a new Store","SUCCESS","2022-06-07T21:56:04.844+01:00[Europe/London]","0.0","0.11"
"Stores CUR dtest with steps","Verify if the store was added to the application","SUCCESS","2022-06-07T21:56:04.954+01:00[Europe/London]","0.0","0.23"
"Stores CUR dtest with steps","Update the store information and verify the updated information","SUCCESS","2022-06-07T21:56:05.193+01:00[Europe/London]","0.0","0.48"
"Stores CUR dtest with steps","Delete the stores and verify if the stores is deleted!","SUCCESS","2022-06-07T21:56:05.675+01:00[Europe/London]","0.0","0.09"
"Utilities CURD test with steps","This will get all HealthCheck","SUCCESS","2022-06-07T21:56:05.936+01:00[Europe/London]","0.0","0.21"
"Utilities CURD test with steps","This will get all version","SUCCESS","2022-06-07T21:56:06.145+01:00[Europe/London]","0.0","0.03"
